Opportunity Name,Level 2 Government,Bridge Name,Project Code,Stage,Sub-Stage,CaseSafeID,B2P Fiscal Year,latitude,longitude,Individuals Directly Served,Population Estimate 2000m
Rwanda - Gitinsi - 1013923,Gisagara,Gitinsi,1013923,Identified,Technical,006f100000d8AoPAAU,2019,-2.62646,29.88709,4897,3628
Rwanda - Mataba - 1012797,Rulindo,Mataba,1012797,Identified,Technical,006f100000d6kpDAAQ,2018,-1.62068,29.95006,1060,11251
Rwanda - Kabeza - 1014394,Nyagatare,Kabeza,1014394,Identified,Technical,006f100000eeuznAAA,2019,-1.40815,30.189856,2054,4945
Rwanda - Indatwa - 1014437,Kicukiro,Indatwa,1014437,Identified,Vehicular Bridge Required,006f100000eevL8AAI,2019,-1.965987,30.110639,4750,90103
Rwanda - Mburabuturo - 1013719,Karongi,Mburabuturo,1013719,Identified,Technical,006f100000d7jEfAAI,2019,-2.18978,29.42021,4684,5298
Rwanda - Rweru - 1013218,Nyamagabe,Rweru,1013218,Complete,In Service,006f100000d75v6AAA,2020,-2.52565,29.568185,2670,5881
Rwanda - Cyahafi - 1012834,Nyanza,Cyahafi,1012834,Identified,Technical,006f100000d6mYVAAY,2018,-2.37584,29.68033,2887,4593
Rwanda - Karuhinda - 1013920,Gisagara,Karuhinda,1013920,Identified,Technical,006f100000d8AoAAAU,2019,-2.68141,29.87402,2096,7974
Rwanda - Kibiraro - 1013334,Huye,Kibiraro,1013334,Identified,Technical,006f100000d7ETNAA2,2019,-2.43844,29.7937,3500,4793
Rwanda - Kiruri - 1012813,Rutsiro,Kiruri,1012813,Complete,In Service,006f100000d6kvTAAQ,2020,-1.985833,29.40916,3290,5508
Rwanda - Nyarusange - 1012815,Rutsiro,Nyarusange,1012815,Complete,,006f100000d6kvdAAA,2023,-1.9955,29.3925,1750,7036
Rwanda - Nyagisumo - 1012820,Nyamagabe,Nyagisumo,1012820,Ready to Confirm,,006f100000d6kxeAAA,2023,-2.332691,29.466929,2272,4512
Rwanda - Kigogo ku ishuri - 1012698,Gicumbi,Kigogo ku ishuri,1012698,Identified,Technical,006f100000dhyaiAAA,2018,-1.59361,30.01151,1002,9015
Rwanda - Karambi - 1012700,Ruhango,Karambi,1012700,Identified,Technical,006f100000dhyeaAAA,2018,-2.22283,29.65287,2543,7746
Rwanda - Mwishogwe-nyirarushyunda - 1012696,Nyamagabe,Mwishogwe-nyirarushyunda,1012696,Identified,Technical,006f100000dhyaYAAQ,2018,-2.49157,29.42108,2759,4027
Rwanda - Bushyana - 1012798,Rulindo,Bushyana,1012798,Identified,Technical,006f100000d6kpNAAQ,2018,-1.63296,29.93438,4016,9748
Rwanda - Mataba - 1012701,Ruhango,Mataba,1012701,Identified,Technical,006f100000dhyefAAA,2018,-2.23697,29.73556,1140,5868
Rwanda - Gashiha - 1012697,Nyamagabe,Gashiha,1012697,Identified,Technical,006f100000dhyadAAA,2018,-2.424161,29.542492,2110,3902
Rwanda - Ntebe - 1013278,Nyanza,Ntebe,1013278,Identified,Technical,006f100000d767NAAQ,2018,-2.45118,29.87035,1764,4169
Rwanda - Matyazo - 1013776,Karongi,Matyazo,1013776,Complete,In Service,006f100000d7wXsAAI,2022,-2.06165,29.39508,3816,7840
Rwanda - Gisiza - 1013780,Karongi,Gisiza,1013780,Identified,Technical,006f100000d7wYHAAY,2019,-2.08381,29.45655,3536,6133
Rwanda - Kabyaza - 1013785,Karongi,Kabyaza,1013785,Identified,Technical,006f100000d7wYlAAI,2019,-2.11554,29.47351,11064,5555
Rwanda - Murambi - 1013027,Nyabihu,Murambi,1013027,Identified,Technical,006f100000d6yLRAAY,2018,,,1,
Rwanda - Mugambazi - 1013788,Gakenke,Mugambazi,1013788,Identified,Technical,006f100000d7wugAAA,2019,-1.72692,29.72306,2188,5902
Rwanda - Nyarusange - 1013792,Gakenke,Nyarusange,1013792,Confirmed,,006f100000d7wv0AAA,2023,-1.72848,29.76589,2740,4672
Rwanda - Kigembe - 1013797,Gakenke,Kigembe,1013797,Identified,Technical,006f100000d7wvZAAQ,2019,-1.62963,29.65738,2386,8546
Rwanda - Ryamanyoni - 1013833,Kayonza,Ryamanyoni,1013833,Identified,Technical,006f100000d7xqEAAQ,2019,-1.74678,30.50085,7168,2375
Rwanda - Meraneza - 1014494,Ngoma,Meraneza,1014494,Identified,Technical,006f100000ef7alAAA,2019,-2.267435,30.545003,10803,3631
Rwanda - Nyakabingo - 1013285,Nyamagabe,Nyakabingo,1013285,Identified,Technical,006f100000d78OVAAY,2018,-2.37564,29.490052,2170,2887
Rwanda - Bukimba - 1014338,Kamonyi,Bukimba,1014338,Identified,Vehicular Bridge Required,006f100000eessUAAQ,2019,-1.943021,29.982635,1383,5110
Rwanda - Nyarubura - 1013896,Nyamasheke,Nyarubura,1013896,Identified,Technical,006f100000d88KNAAY,2019,-2.36254,29.2193,4514,3903
Rwanda - Ku kibuga - 1014262,Nyarugenge,Ku kibuga,1014262,Identified,Technical,006f100000eekXbAAI,2019,-1.95291,30.0532,50628,198721
Rwanda - Bweya - 1014277,Kamonyi,Bweya,1014277,Identified,Technical,006f100000eekfxAAA,2019,-2.03693,29.83341,1858,7385
Rwanda - Bigaga - 1014289,Kamonyi,Bigaga,1014289,Identified,Vehicular Bridge Required,006f100000eekgvAAA,2019,-2.07133,29.87194,890,6555
Rwanda - Bisomera 1 - 1012991,Rutsiro,Bisomera 1,1012991,Identified,Vehicular Bridge Required,006f100000d6wMbAAI,2018,-1.9222,29.473611,2048,5401
Rwanda - Kwa musakiranya - 1013318,Burera,Kwa musakiranya,1013318,Identified,Technical,006f100000d7EQEAA2,2019,-1.56761,29.99711,3383,8486
Rwanda - Ruheka - 1013325,Burera,Ruheka,1013325,Identified,Technical,006f100000d7ESAAA2,2018,-1.59185,29.923,2627,7507
Rwanda - Kwa Bizimana - 1013327,Burera,Kwa Bizimana,1013327,Identified,Technical,006f100000d7ESZAA2,2018,-1.55547,29.98941,3422,8809
Rwanda - Rugarama - 1013329,Burera,Rugarama,1013329,Identified,Vehicular Bridge Required,006f100000d7ESoAAM,2018,-1.50973,29.92132,1391,5700
Rwanda - Akanyana - 1013337,Huye,Akanyana,1013337,Identified,Technical,006f100000d7ETcAAM,2019,-2.49432,29.73509,5277,5223
Rwanda - Kimiyumbo - 1014300,Kamonyi,Kimiyumbo,1014300,Identified,Technical,006f100000eelYiAAI,2019,-2.07671,29.88236,1606,5905
Rwanda - Kamiranzogera - 1012810,Muhanga,Kamiranzogera,1012810,Complete,In Service,006f100000d6kt3AAA,2023,-1.93662,29.73471,3200,5510
Rwanda - Burambo - 1013638,Rutsiro,Burambo,1013638,Identified,Technical,006f100000d7iTZAAY,2019,-1.80494,29.30232,6052,12181
Rwanda - Rukenesha-nyundo - 1013663,Rutsiro,Rukenesha-nyundo,1013663,Identified,,006f100000d7ia1AAA,2024,-1.876611,29.372199,1412,9778
Rwanda - Kamirabageni - 1014307,Kamonyi,Kamirabageni,1014307,Identified,Technical,006f100000eelvwAAA,2019,-2.08754,29.94017,8025,5425
Rwanda - Kasherangabo - 1014351,Ngoma,Kasherangabo,1014351,Identified,Technical,006f100000eeuunAAA,2019,-2.1344,30.53379,12039,6723
Rwanda - Rugazi - 1014352,Ngoma,Rugazi,1014352,Identified,Technical,006f100000eeuusAAA,2019,-2.068,30.57965,9156,3493
Rwanda - Mbuga Kwa Habuhazi - 1012957,Muhanga,Mbuga Kwa Habuhazi,1012957,Identified,Technical,006f100000d6wCIAAY,2018,-1.78470369,29.68177755,1631,7716
Rwanda - Ingirakamaro - 1013730,Gisagara,Ingirakamaro,1013730,Identified,Technical,006f100000d7jI8AAI,2019,-2.57166,29.78138,2751,10642
Rwanda - Rwamihuro - 1014378,Ngoma,Rwamihuro,1014378,Identified,Technical,006f100000eeuyGAAQ,2019,-2.103568,30.57552,8714,4895
Rwanda - Murujanjara - 1014392,Nyagatare,Murujanjara,1014392,Identified,Technical,006f100000eeuzdAAA,2019,-1.393255,30.162868,1942,6287
Rwanda - Matereza - 1014415,Nyagatare,Matereza,1014415,Identified,Technical,006f100000eev1ZAAQ,2019,-1.36087,30.181669,6782,5095
Rwanda - Nyarubande - 1014445,Kicukiro,Nyarubande,1014445,Identified,Technical,006f100000eevMuAAI,2019,-1.968372,30.112113,18340,88189
Rwanda - Nyakirehe - 1014448,Gasabo,Nyakirehe,1014448,Identified,Technical,006f100000eevNxAAI,2019,-1.836888,30.07574,819,7151
Rwanda - Nyabununi - 1013542,Karongi,Nyabununi,1013542,Identified,Requested,006f100000d7aylAAA,2019,-2.13809,29.4254,2923,3551
Rwanda - Bitaba - 1013924,Rusizi,Bitaba,1013924,Identified,Technical,006f100000d8AoyAAE,2019,-2.55713,28.92587,3092,5325
